a,a,a,
abi,grandfather,NN,
abo,interrupt, VB,
abu,river,NN,
abu angwa,stream,NN,
aci,fire,NN,
acikolo,hot,RB,
aco,hoe,NN,
adii,who,PRP,
adi-drii,whose,WP$,
adra,grandmother,NN,
adri,still,RB,
adrupi,brother,NN,
adu,what,WP,
agori,brother-in-law,NN,
adu,oil,NN,
ago,a man,NN,
ago dii,this man,NN,
ago na,that man,NN,
agori,man,NN,
a'i,salt,NN,
a'ii,them,PRP,
ajini,yesterday,RB,
ali,short,RB,
alu,one,JJ,
a'lu,curse,JJ,
ama,we,PRP,
amvoti,sister,NN,
andra,right,JJ,
andraga,ahead,JJ,
angwa,small,ADJ,
vule ga,behind,JJ,
ogu ga,behind,JJ,
bara ga,beside,JJ,
be,mountain,NN,
be-angwa,hill,NN,
di ga,on,JJ,
andri,ugly,JJ,
ana,his,PRP,
ani,he(she),PRP,
anyevu,come,VB,
anyii,you,PRP,
anyivu,go,VB
a'ni,him,PRP,
azo,tall,JJ,
emu,came,VB,
endru,today,RB,
anyi,you,PRP,
anzi,heavy,JJ,
aro,eight,JJ,
azia,six,JJ,
ata,father,NN,
a'u,aunt,NN,
b,b,,
ba,people,NN,
bara,child,NN,
barago,boy,NN,
baru,home,NN,
be,mountain,NN,
bi,wound,NN,
bilo,ram,NN,
boronzi,boys,NNS,
bu,hole,NN,
c,c,,
cara,advice,NN,
cukwa,nails,NNS,
cuwi,ok,ADJ,
d,d,,
di,head,NN,
dia,here,RB,
dii,this,DT,
dri,to,IN,
driadru,now,RB,
dru,branch,NN,
dubasi,at least,RBR
ebwe,peace,NN,
emiemi,immediately,RB,
endre,father,NN,
endru,today,RB,
engare,coming from,
epe,light,ADJ,
eri,two,JJ,
erire,to hear,VBP,
eyi,water,NN,
eyivi,thirst,ADJ,
eze,early,RB,
ezeze,quickly,RB,
fonyi,school,NN,
foroci,dark,JJ,
foro,open place,NN,
forogo,compound,NN,
ga,to,IN,
kolu,be,VB,
kusa,or,CC,
ina,three,JJ,
ingo,where,WRB,
ingoi,which,WDT,
ingoni,how are you, VB,
ili,knief,NN,
inzonzi,girls,NNP,
ire,near,RB,
julu,valley,NN,
lazi,greetings,NN,
lejo,word,NN,
leka,hunting,NN,
limi,wealth,NN,
lini,lesson,NN,
linya,food,NN,
lolu,far,RB,
longo,song,NN,
loso,good,ADJ,
ma,I am,PRP,
madi-zi,someone,PRP,
mai,me,PRP,
mani,to me,POS,
mudi,ten,JJ,
naa,there,RB,
nale,there,RB,
ndi,till,IN,
nosi,may be,MD,
nya,ate,VBD,
nyefe,run,VB,
nyemu,come,VB,
nyikwe,give,VB,
nyimu,go,VB,
nyi,you,PRP,
obu,tomorrow,RB,
odu,taken,VBN,
ofe,ran,VBD,
ofu,flower,NN,
ofu,message,NN,
ofu,letter,NN,
oko,gosh,UH,
omu,went,VBD,
onya,ate,VBD,
oni,stone,NN,
opi,God,NN,
ori,sat,VB,
ovuki,let us go,VB,
owira,good morning,NN,
owo,cry,NN,
owo-loro,mourning,NN,
pelere,beautiful,JJ,
pi,away,RB,
ra,indeed,RB,
rere,very,RB,
riri,quickly,RB,
Rubanga,God,NNP,
sukuru,school,NN,
suru,tribe,NN,
ti,and,CC,
tro,with,IN,
uku,women,NNS,
urwe,thin,JJ,
ukunzi,women,NNS,
vuru,down,RB,
wara,light,JJ,
zangwa,girl,NN,
.,.,,
;,;,,
!,!,,
?,?,,
:,:,,
',',,
",",,
